stock_code,name_snapshot,latest_close,latest_total_cap,latest_float_cap,pb
000009,中国宝安,9.27,23909313456.0,23879709711.0,2.39
688119,中钢洛耐,5.16,5805000000.0,5805000000.0,2.06
920699,海达尔,42.12,1921737636.0,879267636.0,5.47
600608,*ST沪科,2.07,680743183.0,659028883.0,17.51
000926,福星股份,2.07,3297437082.0,3256542930.0,0.63
002227,*ST特迅,9.14,2264948394.0,2247862041.0,2.46
301216,万凯新材,30.54,17719262831.0,16746063495.0,2.71
000049,德赛电池,29.72,11431457230.0,11428376099.0,1.68
603155,新亚强,17.48,5519953264.0,5519953264.0,2.5
603843,*ST正平,8.54,5974782444.0,5974782444.0,21.35
600730,*ST高科,8.54,5010042257.0,5010042257.0,2.98
600082,ST海泰,3.34,2158026859.0,2118680276.0,1.28
002199,*ST东晶,10.23,2490415373.0,2362435311.0,13.75
000691,*ST亚太,7.52,3646485600.0,2430990400.0,8.08
603272,*ST联翔,25.52,2644561040.0,2644561040.0,4.91
002872,ST天圣,5.44,1729920000.0,1169154649.0,0.89
300612,宣亚国际,15.08,2721253800.0,2712582800.0,6.35
603318,水发燃气,14.47,8026121464.0,6642756270.0,4.27
688227,品高股份,135.07,15270375994.0,15270375994.0,12.26
002289,*ST宇顺,34.82,9758434983.0,9555695533.0,36.78
000856,冀东装备,10.07,2285890000.0,2285890000.0,5.46
300491,通合科技,25.81,4534123976.0,4026091034.0,3.75
688286,敏芯股份,73.26,4106938897.0,4106938897.0,3.83
603757,大元泵业,51.22,9554950606.0,9554950606.0,4.5
002115,三维通信,14.7,11921572580.0,11057274320.0,5.77
600735,ST新华锦,7.79,3340182326.0,3314269732.0,3.13
600289,ST信通,6.53,4120770011.0,3695475127.0,4.58
688408,中信博,42.77,9369447944.0,9369447944.0,2.28
002634,*ST棒杰,5.06,2324323716.0,2237710178.0,-2.99
600243,*ST海华,4.01,1759788500.0,1759788500.0,3.19
300670,大烨智能,7.18,2275489039.0,1613304543.0,5.38
000609,*ST中迪,13.73,4108915617.0,3996230075.0,-14.96
688129,东来技术,30.42,3664965096.0,3664965096.0,3.72
605577,龙版传媒,11.83,5257777784.0,5257777784.0,1.31
600816,建元信托,2.76,27170677181.0,15094820656.0,1.78
300419,ST浩丰,7.01,2577953928.0,2577953928.0,7.74
600058,五矿发展,11.26,12069714606.0,12069714606.0,2.47
002345,潮宏基,11.26,10004653081.0,9765002650.0,2.66
002921,联诚精密,29.54,4400577552.0,3794210060.0,3.36
002135,东南网架,7.87,8779152631.0,8215263841.0,1.39
688155,先惠技术,86.22,10901312610.0,10901312610.0,4.72
301111,粤万年青,19.62,3139200000.0,3139200000.0,4.2
600381,*ST春天,3.42,2007747734.0,2007747734.0,1.95
